person_age,person_gender_female,person_gender_male,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22.0,1,0,6,71948.0,0,0,35000.0,0,0,0,0,1,0,16.02,0.49,3.0,561,0,1
21.0,1,0,0,12282.0,0,5,1000.0,0,1,0,0,0,0,11.14,0.08,2.0,504,1,0
25.0,1,0,0,12438.0,3,2,5500.0,0,0,0,1,0,0,12.87,0.44,3.0,635,0,1
23.0,1,0,4,79753.0,0,0,35000.0,0,0,0,1,0,0,15.23,0.44,2.0,675,0,1
24.0,0,1,6,66135.0,1,0,35000.0,0,0,0,1,0,0,14.27,0.53,4.0,586,0,1
21.0,1,0,0,12951.0,0,5,2500.0,0,0,0,0,0,1,7.14,0.19,2.0,532,0,1
26.0,1,0,4,93471.0,1,0,35000.0,0,1,0,0,0,0,12.42,0.37,3.0,701,0,1
24.0,1,0,0,95550.0,5,0,35000.0,0,0,0,1,0,0,11.11,0.37,4.0,585,0,1
24.0,1,0,2,100684.0,3,0,35000.0,0,0,0,0,1,0,8.9,0.35,2.0,544,0,1
21.0,1,0,0,12739.0,0,5,1600.0,0,0,0,0,0,1,14.74,0.13,3.0,640,0,1
22.0,1,0,0,102985.0,0,0,35000.0,0,0,0,0,0,1,10.37,0.34,4.0,621,0,1
21.0,1,0,2,13113.0,0,5,4500.0,0,0,1,0,0,0,8.63,0.34,2.0,651,0,1
23.0,0,1,4,114860.0,3,0,35000.0,0,0,0,0,0,1,7.9,0.3,2.0,573,0,1
26.0,0,1,6,130713.0,0,0,35000.0,0,1,0,0,0,0,18.39,0.27,4.0,708,0,1
23.0,1,0,2,138998.0,0,0,35000.0,0,1,0,0,0,0,7.9,0.25,4.0,583,0,0
23.0,1,0,6,600891.0,5,2,30000.0,1,0,0,0,0,0,10.65,0.05,3.0,670,1,0
23.0,0,1,4,144943.0,0,0,35000.0,0,1,0,0,0,0,7.9,0.24,4.0,663,0,0
23.0,1,0,0,111369.0,0,0,35000.0,0,0,0,1,0,0,20.0,0.31,4.0,694,0,1
23.0,0,1,4,136628.0,0,0,35000.0,1,0,0,0,0,0,18.25,0.26,4.0,709,0,1
24.0,1,0,6,14283.0,1,2,1750.0,0,1,0,0,0,0,10.99,0.12,2.0,679,0,1
25.0,0,1,4,195718.0,0,0,35000.0,0,0,0,0,0,1,7.49,0.18,4.0,684,1,0
25.0,0,1,0,165792.0,4,0,34800.0,0,0,0,0,1,0,16.77,0.21,2.0,662,0,0
