person_age,person_gender_female,person_gender_male,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
24.0,0,1,2,66904.0,0,2,6000.0,0,0,0,0,1,0,7.51,0.09,4.0,674,1,0
23.0,0,1,0,66763.0,3,2,8000.0,0,1,0,0,0,0,9.88,0.12,3.0,496,1,0
22.0,0,1,2,36727.0,0,0,7200.0,0,0,0,0,0,1,11.71,0.2,3.0,659,0,0
22.0,1,0,0,36715.0,0,0,7200.0,0,0,0,1,0,0,8.9,0.2,2.0,633,0,1
22.0,0,1,4,66830.0,4,2,13000.0,0,0,0,0,1,0,13.85,0.19,3.0,658,1,0
21.0,0,1,2,39065.0,0,0,7200.0,1,0,0,0,0,0,11.71,0.18,4.0,678,0,1
24.0,1,0,0,39050.0,0,0,7200.0,0,0,0,1,0,0,13.79,0.18,2.0,576,1,0
21.0,0,1,4,39423.0,0,0,7200.0,0,1,0,0,0,0,5.42,0.18,4.0,654,1,0
25.0,0,1,4,39751.0,5,0,7200.0,0,0,0,1,0,0,12.84,0.18,4.0,696,0,0
25.0,1,0,4,66880.0,3,2,15000.0,0,1,0,0,0,0,11.01,0.22,3.0,626,1,0
25.0,1,0,6,39985.0,2,0,7200.0,0,0,0,1,0,0,9.51,0.18,4.0,602,1,0
22.0,0,1,0,66391.0,0,5,5000.0,1,0,0,0,0,0,14.61,0.08,2.0,599,0,0
22.0,1,0,4,66891.0,0,5,1000.0,0,0,0,0,0,1,8.59,0.01,3.0,562,1,0
22.0,0,1,0,42201.0,0,0,7200.0,0,0,0,0,0,1,7.9,0.17,4.0,586,1,0
23.0,0,1,2,59747.0,0,2,15000.0,0,0,0,0,1,0,19.82,0.25,2.0,637,0,1
26.0,0,1,6,41964.0,4,0,7200.0,0,0,0,1,0,0,12.73,0.17,3.0,702,1,0
25.0,0,1,0,43222.0,1,0,7200.0,0,0,0,1,0,0,8.9,0.17,3.0,666,0,0
23.0,0,1,6,67065.0,0,2,7000.0,0,1,0,0,0,0,8.59,0.1,2.0,702,0,0
24.0,1,0,6,66701.0,2,2,5500.0,0,0,0,0,0,1,8.59,0.08,3.0,648,0,0
25.0,0,1,4,66863.0,5,2,10200.0,0,0,0,0,1,0,8.94,0.15,3.0,603,1,0
25.0,1,0,0,66710.0,3,5,10000.0,0,1,0,0,0,0,13.57,0.15,2.0,580,0,0
22.0,0,1,2,67156.0,2,5,2000.0,0,0,0,0,1,0,7.4,0.03,3.0,558,0,0
21.0,0,1,2,43039.0,0,0,7200.0,1,0,0,0,0,0,12.69,0.17,3.0,647,0,0
25.0,0,1,6,43306.0,1,0,7200.0,0,0,0,0,1,0,9.99,0.17,4.0,615,1,0
24.0,1,0,4,43239.0,0,0,7200.0,0,0,0,1,0,0,11.01,0.17,2.0,621,1,0
23.0,0,1,2,38068.0,0,0,7200.0,1,0,0,0,0,0,14.54,0.19,3.0,648,0,1
26.0,0,1,4,67018.0,7,2,12500.0,0,0,0,1,0,0,11.01,0.19,3.0,660,1,0
25.0,0,1,4,45256.0,2,0,7200.0,1,0,0,0,0,0,11.34,0.16,2.0,595,1,0
24.0,0,1,6,45745.0,4,0,7200.0,0,1,0,0,0,0,7.9,0.16,2.0,696,1,0
24.0,0,1,4,45766.0,1,0,7200.0,0,1,0,0,0,0,8.9,0.16,4.0,584,0,0
23.0,1,0,4,46776.0,1,0,7200.0,1,0,0,0,0,0,7.9,0.15,4.0,717,0,0
24.0,1,0,4,59465.0,4,2,5000.0,0,0,0,1,0,0,12.18,0.08,3.0,597,0,1
26.0,0,1,4,46806.0,6,0,7200.0,0,0,0,1,0,0,9.91,0.15,2.0,600,0,0
23.0,0,1,0,47476.0,1,0,7200.0,0,0,0,0,1,0,13.48,0.15,3.0,643,1,0
22.0,0,1,4,49047.0,0,0,7200.0,0,1,0,0,0,0,17.58,0.15,2.0,710,0,0
22.0,1,0,6,49045.0,0,0,7200.0,0,0,0,0,1,0,18.79,0.15,3.0,691,1,0
26.0,1,0,10,66910.0,5,2,7000.0,0,0,0,0,0,1,12.53,0.1,4.0,566,0,0
26.0,1,0,2,67233.0,6,2,12500.0,0,0,0,0,0,1,8.94,0.19,2.0,612,1,0
